WifiStandard,Anten,Bandwidth,Channel,Frequency,Rate,Power_Lower_Limit,Power_Actual,Power_Upper_Limit,FreqErr_Lower_Limit,FreqErr_Actual,FreqErr_Upper_Limit,SymClock_Actual,SymClock_Upper_Limit,EVM_Actual,EVM_Upper_Limit
802.11nHT20,ANT 1,20,1,2412,0,,15.41 dBm,,,15.16 kHz,,6.4 ppm,,-27.29 dBm,
802.11nHT20,ANT 1,20,1,2412,1,,15.44 dBm,,,15.26 kHz,,6.56 ppm,,-27.48 dBm,
802.11nHT20,ANT 1,20,2,2417,0,,15.3 dBm,,,15.36 kHz,,6.33 ppm,,-27.35 dBm,
802.11nHT20,ANT 1,20,2,2417,1,,15.45 dBm,,,15.37 kHz,,6.6 ppm,,-27.3 dBm,
802.11nHT20,ANT 1,20,3,2422,0,,16.08 dBm,,,15.39 kHz,,6.44 ppm,,-26.6 dBm,
802.11nHT20,ANT 1,20,3,2422,1,,15.43 dBm,,,15.43 kHz,,6.36 ppm,,-27.31 dBm,
802.11nHT40,ANT 1,40,5,2422,15,,15.77 dBm,,,15.41 kHz,,6.49 ppm,,-22.09 dBm,
802.11nHT40,ANT 1,40,8,2437,15,,15.64 dBm,,,15.52 kHz,,6.3 ppm,,-21.95 dBm,
802.11nHT40,ANT 1,40,13,2462,15,,15.91 dBm,,,15.68 kHz,,6.33 ppm,,-21.73 dBm,
