WifiStandard,Anten,Channel,Rate,Power_Actual,PacketSent,PacketGet,PER
802.11b,ANT 1,1,1,-60 dBm,1000,999,00.10%
802.11b,ANT 1,1,2,-60 dBm,1000,999,00.10%
802.11b,ANT 1,1,5.5,-60 dBm,1000,999,00.10%
802.11b,ANT 1,1,11,-60 dBm,1000,997,00.30%
802.11b,ANT 1,6,1,-60 dBm,1000,1000,00.00%
802.11b,ANT 1,6,2,-60 dBm,1000,993,00.70%
802.11b,ANT 1,6,5.5,-60 dBm,1000,999,00.10%
802.11b,ANT 1,6,11,-60 dBm,1000,997,00.30%
802.11b,ANT 1,11,1,-60 dBm,1000,950,05.00%
802.11b,ANT 1,11,2,-60 dBm,1000,968,03.20%
802.11b,ANT 1,11,5.5,-60 dBm,1000,977,02.30%
802.11b,ANT 1,11,11,-60 dBm,1000,930,07.00%
802.11g,ANT 1,1,6,-60 dBm,1000,997,00.30%
802.11g,ANT 1,1,12,-60 dBm,1000,973,02.70%
802.11g,ANT 1,1,36,-60 dBm,1000,996,00.40%
802.11g,ANT 1,1,54,-60 dBm,1000,999,00.10%
802.11g,ANT 1,6,6,-60 dBm,1000,995,00.50%
802.11g,ANT 1,6,12,-60 dBm,1000,997,00.30%
802.11g,ANT 1,6,36,-60 dBm,1000,991,00.90%
802.11g,ANT 1,6,54,-60 dBm,1000,989,01.10%
802.11g,ANT 1,11,6,-60 dBm,1000,863,13.70%
802.11g,ANT 1,11,12,-60 dBm,1000,900,10.00%
802.11g,ANT 1,11,36,-60 dBm,1000,834,16.60%
802.11g,ANT 1,11,54,-60 dBm,1000,815,18.50%
